Date,Close,High,Low,Open,Volume,RSI,BBL_20_2.0_2.0,BBM_20_2.0_2.0,BBU_20_2.0_2.0,BBB_20_2.0_2.0,BBP_20_2.0_2.0,SMA_20,SMA_50,SMA_200,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9
2019-01-02,4.4897236824035645,4.568595574055911,4.150335445867055,4.156310499381995,271665600,,,,,,,,,,,,
2019-01-03,4.054732799530029,4.351099890490272,4.0188820263086145,4.299713615054896,330510400,,,,,,,,,,,,
2019-01-04,4.573376178741455,4.63193234626152,4.202916903796509,4.248328134839804,272964000,,,,,,,,,,,,
2019-01-07,4.719168663024902,4.798040541098455,4.556644682541875,4.597275677662632,213106400,,,,,,,,,,,,
2019-01-08,4.855401992797852,4.912763318730606,4.648662071456686,4.862571873622386,211622400,,,,,,,,,,,,
2019-01-09,4.9701247215271,5.039436153817521,4.851816671552376,4.913958222907379,178098400,,,,,,,,,,,,
2019-01-10,5.017926216125488,5.022705984946674,4.775335055658121,4.8565970518934,175131200,,,,,,,,,,,,
2019-01-11,4.958175182342529,4.9749055142590555,4.876913179433097,4.928299459386631,120804800,,,,,,,,,,,,
2019-01-14,4.829110622406006,4.892446993220881,4.763384139653386,4.8315007343437495,111383200,,,,,,,,,,,,
2019-01-15,5.096798419952393,5.129063798956854,4.882888138321164,4.8924481324309514,145125600,,,,,,,,,,,,
2019-01-16,5.103967189788818,5.241395665136806,5.100382249761961,5.13503818957907,135892800,,,,,,,,,,,,
2019-01-17,5.223471641540527,5.290393429549635,5.026292130364885,5.054972571034942,142040000,,,,,,,,,,,,
2019-01-18,5.366874694824219,5.450526807799986,5.240201469125638,5.3441693101615515,166908800,,,,,,,,,,,,
2019-01-22,5.070507049560547,5.267686976701252,4.937858784669595,5.25932135600906,181734400,,,,,,,,,,,,
2019-01-23,5.07528829574585,5.198376136549811,4.902009000020712,5.132649632893347,166093600,62.06895399476522,,,,,,,,,,,
2019-01-24,5.164915084838867,5.18881529829844,5.059752413320814,5.11711374618502,128115200,63.5203887771736,,,,,,,,,,,
2019-01-25,5.3489484786987305,5.397944639161647,5.236615940431073,5.289197041262623,139513600,66.36629689249499,,,,,,,,,,,
2019-01-28,5.151770114898682,5.151770114898682,5.0203166507924015,5.13981955132499,140359200,60.88563721785876,,,,,,,,,,,
2019-01-29,5.005974769592285,5.163718509492946,4.951003562992681,5.16132839757115,122530400,57.12890505033473,,,,,,,,,,,
2019-01-30,5.381215572357178,5.439772195366881,5.125479433059178,5.17447560501938,175824000,63.389949497456286,4.34265825259688,4.972873568534851,5.603088884472822,25.34612260909138,0.8239702316775478,4.972873568534851,,,,,
2019-01-31,5.617830753326416,5.702678153120529,5.4588921439894875,5.475622475933653,160575200,66.69313663367764,4.380470567975354,5.0292789220809935,5.678087276186633,25.801247620491036,0.9535636968305696,5.0292789220809935,,,,,
2019-02-01,5.546128273010254,5.6668259731861905,5.504302450144157,5.5377631084370345,141561600,64.78553725411548,4.59180543870589,5.103848695755005,5.61589195280412,20.064985761627046,0.9318771619062899,5.103848695755005,,,,,
2019-02-04,5.749283790588379,5.755258843582084,5.5377636323665325,5.553299134844021,110976800,67.61215575900613,4.637860517114942,5.162644076347351,5.68742763557976,20.33003056076263,1.0589349208072512,5.162644076347351,,,,,
2019-02-05,5.901051998138428,5.927342320216497,5.771988676443735,5.780353841086841,128916800,69.57681687074216,4.646286711511619,5.221738243103028,5.797189774694436,22.040611949535226,1.090244110704477,5.221738243103028,,,,,
2019-02-06,5.854446887969971,5.94287877288975,5.7743797131653185,5.913003049847352,145420000,68.20851593315372,4.65981864312161,5.271690487861633,5.883562332601657,23.21349654911999,0.9762078898694407,5.271690487861633,,,,,
2019-02-07,5.615441799163818,5.739724475954754,5.483988327974923,5.696703356506294,209793600,61.52608273363276,4.691039199220877,5.303956341743469,5.916873484266062,23.11169636517482,0.754100787700572,5.303956341743469,,,,,
2019-02-08,5.644120693206787,5.646510805394627,5.449330880637105,5.4624762697365785,144722400,62.0070756532709,4.720021448379413,5.335266065597534,5.950510682815656,23.063315293132096,0.7510014870229698,5.335266065597534,,,,,
2019-02-11,5.630975723266602,5.749283778101202,5.587954612417656,5.708652779618011,121196800,61.62677802191635,4.766370892993008,5.368906092643738,5.971441292294468,22.445361839213394,0.7174724653221727,5.368906092643738,,,,,
2019-02-12,5.874762058258057,5.902247668273123,5.722993333148242,5.751674227349857,128226400,65.81433601527212,4.833807170672002,5.4211886644363405,6.008570158200679,21.66984143598,0.8860977904793277,5.4211886644363405,,,,,
2019-02-13,5.886712074279785,6.008605074991959,5.869981742864508,5.9584140807461266,127609600,66.01014189679732,4.859790025093412,5.46068434715271,6.0615786692120075,22.008022579536714,0.8544947185280891,5.46068434715271,,,,,
2019-02-14,5.908222675323486,5.969169404074252,5.762429460553742,5.8197907926402985,153369600,66.38339574680614,4.893266968797283,5.5008971214294435,6.108527274061604,22.092038415518086,0.8351755604371928,5.5008971214294435,,,,,
2019-02-15,5.978729724884033,6.03728634434781,5.898663003596227,6.036091060105305,142496000,67.6378560123093,4.911139448507889,5.538660025596618,6.166180602685348,22.65965320812893,0.8506416485408657,5.538660025596618,,,,,
2019-02-19,6.014580249786377,6.069551465914605,5.922562976249655,5.922562976249655,103572800,68.2858980029809,4.916075974448101,5.571045303344727,6.226014632241353,23.513337021452596,0.838592149947569,5.571045303344727,,,,,
